###########################################################################################################################################################

        learning rate vit: 0.0001, learning rate mlp: 0.0001, lr_sched: True, mlp_hidden_sizes: [1024, 512, 256], jump_frames: 2, use_reconstruction_layer: True
        batch_size: 16, norm: True, train_seqeunces: [0], val_sequences: [0], dataset: Stereo,
        average embeddings: False, model: openai/clip-vit-base-patch32, augmentation: True, random crop: True, deepF_nocorrs: False,
        SVD coeff: 0, RE1 coeff: 0 SED coeff: 0.01, ALG_COEFF: 0, unforzen layers: 0, group conv: False
        crop: 224 resize: 256, use conv: True pretrained: None 

algebraic_truth: 0.024857250570553786		 val_algebraic_truth: 0.02541717540386111
             Algebraic dist: 22.33082339638158		 Val Algebraic dist: 22.207167514534884
             Algebraic sqr dist: 1082.9417945906432	  Val Algebraic sqr dist: 1015.3682776162791
             RE1 dist: 541.4708972953216		 Val RE1 dist: 507.6842296511628
             SED dist: 5.44941863121345		 Val SED dist: 4.972313814384993

Epoch 54/1500: Training Loss: 0.056457703573661935		 Val Loss: 0.058507730794507405
             Training MAE: 0.03435177356004715		 Val MAE: 0.03470152989029884
             Algebraic dist: 21.686787566246345		 Val Algebraic dist: 22.830996491188227
             Algebraic sqr dist: 1002.094298245614	  Val Algebraic sqr dist: 1094.8888081395348
             RE1 dist: 501.0471948099415		 Val RE1 dist: 547.4444040697674
             SED dist: 5.197284899259868		 Val SED dist: 5.401534679324128

Epoch 55/1500: Training Loss: 0.06073463729947631		 Val Loss: 0.0639345645904541
             Training MAE: 0.03396337479352951		 Val MAE: 0.03556768596172333
             Algebraic dist: 22.67534579449927		 Val Algebraic dist: 24.410073923510176
             Algebraic sqr dist: 1097.5241228070176	  Val Algebraic sqr dist: 1502.2559956395348
             RE1 dist: 548.7620614035088		 Val RE1 dist: 751.1279978197674
